iter	compliance	FCS	theta_only	hj_trial	reinit_trial	accepted_source_detail
65	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
66	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
67	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
68	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
69	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
70	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
71	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
72	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
73	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
74	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
75	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
76	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
77	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
78	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
79	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
80	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
81	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
82	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
83	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
84	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
85	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
